Red,Green,Blue
0.427,0.272,0.301
0.424,0.273,0.302
0.426,0.272,0.302
0.429,0.268,0.303
0.431,0.272,0.297
0.432,0.274,0.295
0.430,0.274,0.296
0.436,0.274,0.291
0.436,0.273,0.291
0.439,0.274,0.287
0.448,0.273,0.279
0.455,0.273,0.273
0.463,0.269,0.269
0.468,0.270,0.262
0.467,0.270,0.262
0.474,0.267,0.259
0.473,0.273,0.255
0.467,0.276,0.257
0.470,0.280,0.250
0.474,0.274,0.253
0.473,0.275,0.253
0.477,0.279,0.244
0.476,0.280,0.244
0.469,0.284,0.247
0.481,0.278,0.241
0.474,0.282,0.244
0.481,0.278,0.241
0.469,0.284,0.247
0.469,0.284,0.247
0.476,0.280,0.244
0.482,0.277,0.241
0.471,0.282,0.247
0.477,0.279,0.244
0.483,0.276,0.241
0.478,0.278,0.244
0.478,0.278,0.244
0.478,0.283,0.239
0.473,0.280,0.247
0.478,0.283,0.239
0.478,0.278,0.244
0.477,0.284,0.239
0.477,0.284,0.239
0.483,0.276,0.241
0.483,0.276,0.241
0.483,0.276,0.241
0.478,0.278,0.244
0.479,0.277,0.245
0.471,0.275,0.255
0.473,0.273,0.255
0.471,0.269,0.261
0.461,0.273,0.266
0.463,0.272,0.265
0.463,0.272,0.265
0.451,0.274,0.274
0.443,0.273,0.284
0.436,0.272,0.292
0.428,0.275,0.297
0.426,0.270,0.304
0.425,0.270,0.306
0.420,0.273,0.307
0.418,0.271,0.311
0.416,0.274,0.310
0.413,0.274,0.312
0.413,0.273,0.314
0.410,0.273,0.317
0.403,0.274,0.323
0.401,0.274,0.325
0.396,0.274,0.330
0.390,0.276,0.334
0.386,0.278,0.336
0.383,0.275,0.343
0.378,0.277,0.345
0.375,0.277,0.348
0.372,0.276,0.351
0.368,0.279,0.353
0.365,0.279,0.356
0.365,0.278,0.357
0.365,0.279,0.356
0.366,0.277,0.357
0.364,0.278,0.358
0.362,0.278,0.359
0.363,0.278,0.360
0.361,0.278,0.361
0.358,0.278,0.364
0.358,0.278,0.364
0.357,0.277,0.366
0.355,0.279,0.367
0.352,0.279,0.369
0.349,0.280,0.372
0.347,0.280,0.373
0.344,0.279,0.376
0.340,0.280,0.380
0.336,0.281,0.382
0.335,0.280,0.385
0.333,0.279,0.387
0.330,0.278,0.392
0.329,0.279,0.393
0.331,0.278,0.391
0.332,0.277,0.391
0.337,0.276,0.387
0.343,0.275,0.382
0.347,0.277,0.376
0.354,0.274,0.371
0.361,0.274,0.365
0.366,0.277,0.357
0.371,0.276,0.353
0.379,0.274,0.347
0.381,0.275,0.344
0.380,0.276,0.344
0.382,0.280,0.338
0.385,0.274,0.341
0.383,0.278,0.339
0.385,0.277,0.338
0.386,0.275,0.339
0.386,0.275,0.339
0.382,0.278,0.340
0.380,0.278,0.343
0.376,0.276,0.348
0.375,0.277,0.348
0.376,0.275,0.349
0.372,0.276,0.352
0.370,0.275,0.355
0.370,0.275,0.355
0.368,0.275,0.357
0.365,0.277,0.358
0.365,0.277,0.358
0.365,0.274,0.361
0.364,0.275,0.361
0.362,0.277,0.362
0.362,0.277,0.362
0.360,0.276,0.364
0.361,0.274,0.365
0.360,0.274,0.366
0.359,0.275,0.366
0.356,0.274,0.370
0.356,0.275,0.369
0.353,0.276,0.372
0.354,0.275,0.370
0.353,0.275,0.372
0.353,0.276,0.372
0.352,0.275,0.373
0.350,0.277,0.374
0.349,0.277,0.373
0.347,0.278,0.374
0.344,0.278,0.377
0.344,0.278,0.377
0.342,0.280,0.378
0.340,0.279,0.381
0.339,0.281,0.380
0.339,0.281,0.380
0.338,0.280,0.382
0.337,0.279,0.384
0.337,0.280,0.383
0.335,0.281,0.384
0.336,0.279,0.385
0.334,0.280,0.386
0.334,0.280,0.386
0.333,0.281,0.386
0.331,0.282,0.387
0.331,0.282,0.387
0.331,0.282,0.387
0.328,0.285,0.387
0.330,0.284,0.387
0.329,0.283,0.388
0.329,0.285,0.387
0.328,0.285,0.387
0.328,0.286,0.385
0.327,0.287,0.386
0.327,0.287,0.385
0.328,0.288,0.383
0.326,0.288,0.386
0.325,0.290,0.384
0.326,0.289,0.385
0.323,0.290,0.386
0.322,0.290,0.388
0.322,0.289,0.388
0.322,0.291,0.387
0.320,0.292,0.387
0.320,0.291,0.388
0.319,0.293,0.388
0.321,0.292,0.387
0.319,0.293,0.389
0.317,0.295,0.388
0.317,0.294,0.389
0.319,0.291,0.390
0.320,0.291,0.389
0.319,0.294,0.387
0.320,0.293,0.387
0.321,0.292,0.387
0.324,0.294,0.382
0.320,0.299,0.381
0.321,0.293,0.386
0.320,0.298,0.381
0.320,0.297,0.383
0.317,0.299,0.383
0.323,0.297,0.380
0.327,0.300,0.373
0.329,0.300,0.371
0.331,0.301,0.368
0.333,0.302,0.365
0.342,0.300,0.358
0.339,0.304,0.357
0.349,0.303,0.349
0.346,0.308,0.346
0.354,0.303,0.343
0.359,0.304,0.337
0.360,0.314,0.326
0.367,0.316,0.316
0.370,0.315,0.315
0.377,0.319,0.304
0.391,0.312,0.297
0.393,0.311,0.295
0.404,0.316,0.281
0.407,0.315,0.278
0.423,0.308,0.269
0.412,0.314,0.275
0.420,0.320,0.260
0.429,0.306,0.265
0.437,0.312,0.250
0.437,0.312,0.250
0.447,0.298,0.255
0.457,0.304,0.239
0.457,0.304,0.239
0.457,0.304,0.239
0.457,0.304,0.239
0.477,0.295,0.227
0.477,0.295,0.227
0.465,0.302,0.233
0.465,0.302,0.233
0.465,0.302,0.233
0.476,0.286,0.238
0.476,0.286,0.238
0.488,0.293,0.220
0.488,0.293,0.220
0.488,0.293,0.220
0.488,0.293,0.220
0.488,0.293,0.220
0.475,0.300,0.225
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.475,0.300,0.225
0.487,0.282,0.231
0.487,0.282,0.231
0.487,0.282,0.231
0.474,0.289,0.237
0.474,0.289,0.237
0.474,0.289,0.237
0.474,0.289,0.237
0.462,0.308,0.231
0.462,0.308,0.231
0.462,0.308,0.231
0.463,0.293,0.244
0.452,0.310,0.238
0.442,0.302,0.256
0.444,0.311,0.244
0.426,0.319,0.255
0.412,0.314,0.275
0.400,0.309,0.291
0.383,0.317,0.300
0.373,0.313,0.313
0.359,0.308,0.333
0.348,0.303,0.348
0.337,0.307,0.356
0.339,0.304,0.357
0.333,0.301,0.366
0.324,0.301,0.375
0.320,0.300,0.380
0.319,0.301,0.380
0.318,0.296,0.385
0.320,0.299,0.381
0.316,0.296,0.388
0.317,0.294,0.389
0.315,0.294,0.391
0.317,0.293,0.390
0.316,0.293,0.391
0.316,0.293,0.392
0.315,0.293,0.393
0.317,0.291,0.392
0.315,0.294,0.391
0.316,0.292,0.392
0.316,0.291,0.393
0.318,0.290,0.392
0.318,0.291,0.391
0.319,0.289,0.392
0.319,0.289,0.392
0.320,0.290,0.390
0.321,0.288,0.391
0.320,0.288,0.392
0.320,0.288,0.392
0.321,0.287,0.392
0.321,0.288,0.390
0.322,0.286,0.392
0.322,0.286,0.392
0.322,0.286,0.392
0.322,0.286,0.392
0.323,0.288,0.390
0.324,0.286,0.390
0.323,0.288,0.389
0.323,0.286,0.391
0.325,0.286,0.389
0.325,0.287,0.387
0.325,0.288,0.387
0.325,0.287,0.388
0.325,0.288,0.388
0.322,0.289,0.389
0.322,0.289,0.389
0.323,0.289,0.388
0.321,0.289,0.390
0.323,0.289,0.388
0.322,0.290,0.389
0.322,0.289,0.388
0.324,0.290,0.386
0.327,0.287,0.386
0.326,0.289,0.384
0.330,0.287,0.383
0.333,0.288,0.378
0.335,0.293,0.372
0.340,0.291,0.369
0.343,0.294,0.363
0.347,0.291,0.362
0.347,0.291,0.362
0.345,0.295,0.360
0.345,0.295,0.360
0.347,0.292,0.361
0.351,0.288,0.361
0.348,0.290,0.362
0.348,0.294,0.358
0.355,0.289,0.355
0.356,0.293,0.351
0.361,0.295,0.344
0.363,0.296,0.341
0.363,0.298,0.339
0.362,0.301,0.337
0.366,0.301,0.333
0.368,0.309,0.324
0.361,0.319,0.319
0.347,0.327,0.327
0.349,0.325,0.325
0.375,0.328,0.297
0.404,0.308,0.288
0.396,0.312,0.292
0.400,0.311,0.289
0.390,0.317,0.293
