Red,Green,Blue
0.500,0.250,0.250
0.529,0.235,0.235
0.529,0.235,0.235
0.529,0.235,0.235
0.529,0.235,0.235
0.500,0.250,0.250
0.500,0.250,0.250
0.529,0.235,0.235
0.500,0.250,0.250
0.500,0.250,0.250
0.500,0.222,0.278
0.529,0.235,0.235
0.500,0.250,0.250
0.533,0.267,0.200
0.467,0.267,0.267
0.467,0.267,0.267
0.467,0.267,0.267
0.467,0.267,0.267
0.467,0.267,0.267
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.455,0.273,0.273
0.400,0.300,0.300
0.400,0.300,0.300
0.273,0.364,0.364
0.273,0.364,0.364
0.250,0.333,0.417
0.286,0.357,0.357
0.267,0.333,0.400
0.250,0.375,0.375
0.278,0.333,0.389
0.263,0.368,0.368
0.286,0.333,0.381
0.273,0.364,0.364
0.261,0.348,0.391
0.280,0.360,0.360
0.269,0.346,0.385
0.286,0.357,0.357
0.290,0.355,0.355
0.294,0.353,0.353
0.294,0.353,0.353
0.286,0.371,0.343
0.286,0.371,0.343
0.286,0.371,0.343
0.294,0.353,0.353
0.290,0.355,0.355
0.308,0.346,0.346
0.304,0.348,0.348
0.300,0.350,0.350
0.333,0.333,0.333
0.312,0.375,0.312
0.312,0.375,0.312
0.312,0.375,0.312
0.294,0.353,0.353
0.316,0.368,0.316
0.286,0.381,0.333
0.304,0.348,0.348
0.304,0.348,0.348
0.304,0.348,0.348
0.286,0.381,0.333
0.300,0.350,0.350
0.316,0.368,0.316
0.333,0.333,0.333
0.294,0.353,0.353
0.333,0.333,0.333
0.333,0.333,0.333
0.316,0.368,0.316
0.300,0.350,0.350
0.318,0.364,0.318
0.310,0.345,0.345
0.316,0.342,0.342
0.282,0.359,0.359
0.306,0.347,0.347
0.296,0.352,0.352
0.291,0.345,0.364
0.296,0.352,0.352
0.296,0.352,0.352
0.280,0.360,0.360
0.294,0.353,0.353
0.294,0.353,0.353
0.289,0.356,0.356
0.302,0.349,0.349
0.297,0.351,0.351
0.300,0.367,0.333
0.304,0.348,0.348
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.333,0.333
0.385,0.308,0.308
0.375,0.250,0.375
0.300,0.300,0.400
0.273,0.273,0.455
0.308,0.308,0.385
0.250,0.312,0.437
0.278,0.333,0.389
0.278,0.333,0.389
0.286,0.333,0.381
0.273,0.318,0.409
0.261,0.348,0.391
0.286,0.333,0.381
0.292,0.333,0.375
0.269,0.346,0.385
0.276,0.345,0.379
0.281,0.344,0.375
0.294,0.324,0.382
0.306,0.306,0.389
0.297,0.324,0.378
0.297,0.324,0.378
0.306,0.306,0.389
0.312,0.312,0.375
0.294,0.324,0.382
0.289,0.316,0.395
0.300,0.300,0.400
0.302,0.302,0.395
0.310,0.310,0.381
0.304,0.304,0.391
0.312,0.312,0.375
0.311,0.311,0.378
0.316,0.289,0.395
0.312,0.281,0.406
0.333,0.267,0.400
0.321,0.286,0.393
0.321,0.286,0.393
0.320,0.280,0.400
