aX,aY,aZ,gX,gY,gZ
-0.077,0.143,-0.193,-136.414,-10.742,-2.197
-0.045,0.122,-0.159,-125.122,-31.982,-6.958
-0.044,0.070,-0.144,-115.479,-47.302,-12.268
-0.067,-0.016,-0.143,-104.553,-52.612,-16.846
-0.045,-0.063,-0.145,-97.046,-48.157,-15.564
0.003,-0.055,-0.138,-95.032,-40.222,-8.911
0.045,-0.050,-0.123,-93.323,-33.203,-3.174
0.082,-0.094,-0.125,-87.646,-29.419,-1.709
0.101,-0.146,-0.135,-80.383,-29.175,-3.174
0.079,-0.191,-0.132,-74.646,-31.555,-6.165
0.065,-0.255,-0.098,-69.885,-35.645,-10.498
0.067,-0.330,-0.084,-62.012,-39.307,-13.733
0.050,-0.383,-0.102,-50.293,-41.199,-14.771
0.051,-0.397,-0.124,-37.537,-43.762,-13.489
0.078,-0.391,-0.142,-27.100,-47.791,-10.437
0.099,-0.396,-0.143,-19.531,-51.514,-8.606
0.096,-0.416,-0.136,-14.282,-51.819,-9.216
0.108,-0.447,-0.122,-11.719,-47.180,-10.803
0.108,-0.484,-0.103,-11.047,-39.063,-9.644
0.108,-0.511,-0.080,-10.620,-28.809,-6.409
0.112,-0.537,-0.067,-8.118,-18.799,-2.136
0.132,-0.548,-0.059,-4.089,-9.399,3.540
0.148,-0.530,-0.050,0.854,-3.052,9.583
0.162,-0.503,-0.052,7.751,1.038,13.855
0.165,-0.486,-0.057,14.465,3.784,15.808
0.175,-0.474,-0.074,21.301,3.723,15.747
0.165,-0.454,-0.104,27.710,3.113,13.123
0.135,-0.453,-0.148,34.180,3.296,9.094
0.106,-0.458,-0.184,38.574,5.066,7.019
0.092,-0.457,-0.209,40.222,9.399,7.446
0.082,-0.432,-0.225,41.138,14.709,9.827
0.068,-0.387,-0.242,41.992,20.142,12.878
0.073,-0.341,-0.271,43.640,24.414,15.930
0.064,-0.300,-0.302,46.509,26.184,18.188
0.054,-0.259,-0.330,51.086,25.574,18.799
0.064,-0.221,-0.359,55.725,22.095,19.043
0.078,-0.181,-0.373,60.059,17.639,18.799
-0.444,1.172,-1.159,116.455,146.362,65.918
-0.390,1.236,-1.240,125.000,102.844,53.589
-0.361,1.269,-1.273,132.507,53.101,34.546
-0.356,1.299,-1.295,133.850,20.264,18.433
-0.348,1.311,-1.306,126.526,15.320,13.611
-0.309,1.328,-1.332,111.267,34.485,19.836
-0.285,1.325,-1.358,93.811,63.171,26.978
-0.275,1.329,-1.354,80.383,80.017,28.198
-0.255,1.339,-1.362,72.815,77.698,22.888
-0.293,1.318,-1.373,72.571,60.059,10.559
-0.377,1.280,-1.390,76.477,36.194,-4.089
-0.425,1.240,-1.405,77.209,18.433,-13.000
-0.477,1.215,-1.422,72.754,14.160,-12.695
-0.486,1.222,-1.435,65.063,21.729,-6.592
-0.477,1.241,-1.452,56.824,33.020,1.221
-0.460,1.255,-1.444,49.133,37.170,5.737
-0.423,1.276,-1.450,41.992,34.424,4.944
-0.411,1.298,-1.433,42.725,26.733,3.479
-0.429,1.272,-1.433,39.856,13.367,0.488
-0.439,1.220,-1.446,32.471,5.920,-4.822
-0.470,1.196,-1.455,23.987,3.235,-7.751
-0.494,1.199,-1.470,13.672,2.686,-8.667
-0.516,1.209,-1.494,4.028,2.869,-8.118
-0.515,1.210,-1.504,-2.625,0.916,-6.775
-0.521,1.215,-1.506,-6.958,-3.235,-5.554
-0.508,1.228,-1.506,-12.512,-7.629,-4.822
-0.508,1.220,-1.495,-18.372,-11.780,-4.700
-0.498,1.192,-1.458,-26.001,-14.343,-5.127
-0.485,1.173,-1.404,-34.607,-16.907,-5.615
-0.469,1.169,-1.342,-43.396,-19.958,-5.798
-0.454,1.154,-1.294,-49.866,-22.034,-6.165
