aX,aY,aZ,gX,gY,gZ
1.457,0.911,-0.019,-49.438,-123.047,-36.560
1.445,0.832,0.006,-56.824,-107.239,-45.837
1.384,0.751,0.082,-65.369,-91.370,-54.382
1.274,0.736,0.046,-71.289,-74.829,-59.753
1.280,0.593,0.224,-77.515,-57.007,-61.218
1.191,0.452,0.221,-64.026,-39.490,-64.087
1.196,0.428,0.257,-56.824,-30.212,-66.833
1.243,0.385,0.316,-55.176,-25.452,-70.251
1.251,0.356,0.313,-57.800,-32.043,-82.031
1.271,0.434,0.284,-51.880,-39.490,-98.755
1.299,0.486,0.279,-44.250,-36.438,-109.985
1.282,0.464,0.295,-42.847,-26.978,-111.450
1.288,0.425,0.320,-40.771,-16.663,-111.450
1.259,0.355,0.348,-37.292,-7.996,-115.784
1.280,0.326,0.267,-31.738,1.099,-119.934
1.256,0.265,0.278,-31.982,5.676,-120.117
1.277,0.208,0.243,-27.405,11.841,-116.882
1.279,0.211,0.185,-22.827,19.226,-109.741
1.257,0.161,0.235,-20.142,25.574,-98.511
1.261,0.101,0.118,-7.751,35.156,-88.440
1.272,0.066,0.059,-3.784,41.321,-80.994
1.254,0.047,0.055,-9.644,46.448,-73.486
1.277,-0.016,0.012,-19.287,51.208,-64.209
1.283,-0.042,0.039,-30.212,52.856,-54.871
1.272,-0.001,-0.006,-32.166,55.664,-45.959
1.280,0.004,0.016,-35.217,57.983,-36.438
1.291,0.010,0.003,-34.485,60.242,-29.297
1.294,0.014,-0.019,-33.569,58.594,-23.499
1.287,0.010,-0.012,-34.424,56.396,-16.418
1.288,0.111,0.057,-37.842,51.819,-8.362
1.295,0.268,0.101,-42.847,47.729,-3.723
1.289,0.311,0.128,-46.692,50.049,-7.263
1.304,0.279,0.164,-49.866,57.434,-16.479
1.298,0.204,0.193,-49.805,64.453,-25.085
1.280,0.118,0.211,-47.180,68.787,-29.968
1.260,0.060,0.223,-42.175,69.641,-28.198
1.259,0.083,0.249,-36.377,66.833,-21.606
1.240,0.157,0.259,-32.837,60.242,-14.099
1.232,0.232,0.272,-29.907,55.542,-9.766
1.239,0.312,0.309,-27.161,54.504,-8.789
1.233,0.359,0.333,-25.208,55.908,-12.512
1.229,0.403,0.316,-22.095,59.998,-20.020
1.228,0.422,0.275,-20.203,67.322,-27.954
1.233,0.445,0.259,-20.935,75.378,-34.424
1.225,0.453,0.235,-24.231,79.895,-40.955
1.215,0.416,0.227,-27.771,80.933,-49.622
1.192,0.372,0.236,-29.175,79.468,-57.495
1.151,0.347,0.225,-28.198,77.271,-63.293
1.118,0.280,0.206,-22.095,74.341,-65.979
1.076,0.189,0.170,-12.634,70.801,-65.491
1.023,0.155,0.179,-5.310,62.744,-63.904
0.956,0.213,0.195,-0.854,52.795,-60.974
0.893,0.248,0.208,2.136,47.180,-58.838
0.845,0.308,0.237,1.282,47.913,-58.594
0.806,0.396,0.240,-4.700,53.955,-61.340
0.774,0.399,0.204,-10.193,65.186,-67.993
0.751,0.343,0.171,-12.268,80.566,-75.256
0.705,0.281,0.142,-14.282,91.492,-80.750
0.642,0.202,0.118,-15.991,91.064,-86.304
